iter	Passed	Remaining
0	2	220
1	4	242
2	7	235
3	9	219
4	11	220
5	13	210
6	15	205
7	17	200
8	19	200
9	21	197
10	23	194
11	26	191
12	28	189
13	30	185
14	33	189
15	35	186
16	37	182
17	39	178
18	41	176
19	43	172
20	45	169
21	46	165
22	48	163
23	50	159
24	51	154
25	53	151
26	54	147
27	55	143
28	57	140
29	58	136
30	59	133
31	61	129
32	62	126
33	64	124
34	65	121
35	66	118
36	67	115
37	68	111
38	69	109
39	70	105
40	71	103
41	72	99
42	73	97
43	74	94
44	75	92
45	76	90
46	77	87
47	79	86
48	81	84
49	83	83
50	84	80
51	85	78
52	86	76
53	87	74
54	88	72
55	89	70
56	90	68
57	91	66
58	92	64
59	94	62
60	95	60
61	96	59
62	97	57
63	99	55
64	100	53
65	101	52
66	102	50
67	103	48
68	104	46
69	105	45
70	106	43
71	107	41
72	108	40
73	109	38
74	110	36
75	112	35
76	113	33
77	114	32
78	115	30
79	117	29
80	118	27
81	119	26
82	120	24
83	121	23
84	122	21
85	123	20
86	125	18
87	126	17
88	128	15
89	129	14
90	130	12
91	131	11
92	132	10
93	134	8
94	135	7
95	136	5
96	137	4
97	138	2
98	141	1
99	142	0
