iter	Passed	Remaining
0	10	10675
1	15	7592
2	18	6120
3	21	5440
4	23	4730
5	25	4215
6	26	3783
7	27	3462
8	29	3225
9	30	3028
10	31	2862
11	32	2707
12	33	2573
13	34	2457
14	36	2406
15	37	2321
16	38	2231
17	39	2152
18	40	2086
19	41	2025
20	42	1963
21	42	1907
22	43	1855
23	44	1807
24	45	1761
25	45	1721
26	46	1680
27	47	1643
28	48	1609
29	48	1576
30	49	1543
31	49	1511
32	51	1503
33	52	1479
34	52	1453
35	53	1428
36	53	1404
37	54	1381
38	55	1360
39	55	1340
40	56	1324
41	57	1305
42	57	1287
43	58	1270
44	59	1255
45	59	1241
46	60	1226
47	61	1213
48	61	1199
49	62	1185
50	63	1172
51	63	1159
52	64	1147
53	64	1134
54	65	1132
55	66	1124
56	67	1114
57	68	1104
58	68	1095
59	69	1086
60	69	1076
61	70	1067
62	71	1058
63	71	1049
64	72	1041
65	72	1032
66	73	1025
67	74	1017
68	74	1009
69	75	1002
70	76	995
71	76	989
72	77	983
73	78	976
74	78	969
75	79	963
76	80	970
77	81	966
78	82	962
79	83	956
80	83	950
81	84	944
82	84	935
83	85	930
84	85	924
85	86	920
86	87	915
87	87	910
88	88	905
89	89	900
90	89	895
91	90	890
92	90	885
93	91	881
94	91	876
95	92	871
96	93	867
97	93	862
98	94	858
99	95	856
100	96	855
101	96	852
102	97	848
103	97	844
104	98	840
105	99	836
106	99	832
107	100	828
108	101	826
109	101	823
110	102	820
111	103	817
112	104	816
113	104	813
114	105	811
115	106	808
116	106	804
117	107	802
118	108	799
119	108	797
120	111	807
121	111	804
122	112	801
123	113	798
124	113	797
125	114	794
126	115	791
127	115	788
128	116	785
129	117	783
130	117	780
131	118	776
132	118	773
133	119	771
134	119	768
135	120	766
136	121	764
137	121	762
138	122	760
139	123	758
140	124	756
141	125	759
142	126	759
143	127	757
144	128	755
145	128	754
146	129	752
147	130	750
148	131	748
149	131	746
150	132	743
151	132	741
152	133	738
153	134	737
154	134	735
155	135	733
156	136	731
157	136	728
158	137	726
159	138	724
160	138	722
161	139	720
162	140	723
163	141	721
164	142	720
165	142	718
166	143	716
167	144	715
168	145	713
169	145	712
170	146	710
171	147	708
172	147	706
173	148	704
174	149	703
175	149	701
176	150	699
177	151	698
178	151	696
179	152	695
180	153	693
181	153	691
182	155	692
183	155	691
184	156	689
185	157	687
186	157	686
187	158	684
188	159	682
189	159	681
190	160	679
191	161	677
192	161	675
193	162	674
194	162	672
195	163	670
196	164	668
197	164	666
198	165	665
199	165	663
200	166	661
201	167	659
202	167	658
203	168	656
204	169	655
205	170	655
206	170	654
207	171	652
208	171	650
209	172	649
210	173	647
211	173	646
212	174	644
213	175	643
214	175	641
215	176	639
216	176	638
217	177	637
218	178	636
219	179	634
220	179	633
221	180	633
222	181	631
223	182	630
224	182	629
225	183	628
226	184	629
227	185	628
228	186	627
229	187	626
230	188	625
231	188	625
232	189	624
233	190	623
234	191	622
235	192	621
236	192	620
237	193	619
238	194	618
239	194	617
240	195	615
241	196	614
242	196	613
243	197	612
244	198	611
245	199	611
246	200	611
247	201	609
248	201	608
249	202	607
250	203	607
251	204	605
252	204	604
253	205	603
254	206	602
255	206	601
256	207	600
257	208	599
258	209	599
259	210	598
260	211	597
261	211	596
262	212	595
263	213	594
264	214	595
265	215	594
266	215	592
267	216	591
268	217	590
269	218	589
270	218	588
271	219	587
272	220	586
273	220	585
274	221	584
275	222	583
276	222	582
277	223	580
278	224	579
279	225	578
280	225	577
281	226	576
282	226	574
283	227	573
284	228	572
285	229	572
286	230	572
287	231	571
288	231	570
289	232	569
290	233	568
291	234	567
292	235	567
293	235	566
294	236	564
295	236	563
296	237	562
297	238	561
298	238	560
299	239	558
300	240	557
301	240	556
302	241	555
303	242	554
304	242	553
305	243	552
306	244	552
307	245	551
308	246	550
309	246	549
310	247	548
311	248	546
312	248	545
313	249	544
314	249	543
315	250	542
316	251	541
317	251	540
318	252	539
319	253	538
320	253	537
321	254	536
322	255	535
323	256	534
324	256	533
325	257	533
326	258	532
327	259	532
328	260	531
329	261	530
330	262	529
331	262	528
332	263	528
333	264	527
334	265	526
335	265	525
336	266	524
337	267	523
338	268	522
339	268	522
340	270	522
341	270	521
342	271	520
343	274	522
344	276	524
345	278	525
346	280	527
347	283	531
348	286	534
349	288	536
350	291	538
351	293	539
352	296	544
353	299	546
354	302	550
355	305	552
356	307	553
357	309	555
358	312	557
359	314	558
360	315	558
361	316	558
362	318	558
363	319	558
364	320	557
365	321	557
366	322	556
367	324	556
368	325	555
369	326	556
370	327	555
371	328	554
372	329	554
373	330	553
374	331	552
375	332	551
376	333	550
377	334	549
378	334	548
379	335	547
380	336	546
381	337	545
382	337	544
383	338	543
384	339	541
385	339	540
386	340	539
387	341	538
388	342	537
389	342	536
390	343	535
391	344	534
392	345	533
393	346	532
394	347	531
395	347	530
396	348	528
397	348	527
398	349	526
399	350	525
400	350	523
401	351	522
402	351	521
403	352	520
404	353	518
405	353	517
406	354	516
407	354	514
408	355	514
409	356	513
410	357	512
411	358	511
412	359	510
413	359	509
414	360	508
415	361	506
416	361	505
417	362	504
418	363	503
419	363	502
420	364	501
421	364	499
422	365	498
423	366	497
424	366	496
425	367	494
426	367	493
427	368	492
428	369	491
429	369	490
430	371	490
431	372	489
432	372	488
433	373	487
434	374	486
435	374	485
436	375	483
437	376	482
438	376	481
439	377	480
440	378	479
441	378	478
442	379	477
443	380	476
444	380	474
445	381	473
446	382	472
447	382	471
448	383	470
449	384	469
450	384	468
451	386	468
452	386	467
453	387	466
454	388	465
455	389	464
456	389	463
457	390	462
458	391	461
459	391	459
460	392	458
461	392	457
462	393	456
463	394	455
464	394	454
465	395	453
466	395	451
467	396	450
468	397	449
469	397	448
470	398	447
471	399	446
472	399	445
473	400	444
474	401	443
475	402	442
476	403	441
477	403	440
478	404	439
479	405	439
480	406	438
481	406	437
482	407	436
483	407	434
484	408	433
485	409	432
486	409	431
487	410	430
488	411	429
489	411	428
490	412	427
491	412	426
492	413	425
493	414	424
494	414	423
495	415	422
496	416	421
497	417	420
498	417	419
499	418	418
500	419	417
501	419	416
502	420	415
503	421	414
504	421	413
505	422	412
506	423	411
507	423	410
508	424	409
509	425	408
510	425	407
511	426	406
512	426	405
513	427	404
514	428	403
515	428	402
516	429	401
517	430	400
518	431	399
519	432	398
520	432	397
521	433	396
522	434	395
523	434	394
524	435	393
525	436	392
526	436	391
527	437	391
528	438	390
529	438	389
530	439	388
531	439	387
532	440	385
533	441	384
534	441	383
535	442	382
536	443	382
537	443	381
538	444	380
539	445	379
540	446	378
541	446	377
542	447	376
543	448	375
544	448	374
545	449	373
546	450	372
547	450	371
548	451	370
549	452	369
550	452	368
551	453	367
552	454	367
553	454	366
554	455	365
555	455	364
556	456	363
557	457	362
558	457	361
559	458	360
560	459	359
561	460	358
562	460	357
563	461	356
564	461	355
565	462	354
566	463	353
567	463	352
568	464	351
569	465	350
570	465	349
571	466	348
572	466	347
573	467	347
574	468	346
575	468	345
576	469	344
577	470	343
578	470	342
579	471	341
580	472	340
581	472	339
582	473	338
583	474	338
584	475	337
585	475	336
586	476	335
587	477	334
588	477	333
589	478	332
590	479	331
591	479	330
592	480	329
593	481	328
594	481	327
595	482	326
596	482	325
597	483	325
598	484	324
599	484	323
600	485	322
601	485	321
602	486	320
603	487	319
604	487	318
605	488	317
606	489	316
607	489	315
608	490	314
609	490	313
610	491	312
611	492	312
612	492	311
613	493	310
614	493	309
615	494	308
616	495	307
617	495	306
618	496	305
